id,name,spotify_uri
731,Jack Ü,spotify:artist:1HxJeLhIuegM3KgvPn8sTa
732,Nina Simone,spotify:artist:7G1GBhoKtEPnP86X2PvEYO
733,Kollegah,spotify:artist:6gto7HVNhu4ARE3P3g8Y5Y
734,Bea Miller,spotify:artist:1o2NpYGqHiCq7FoiYdyd1x
735,Nipsey Hussle,spotify:artist:0EeQBlQJFiAfJeVN2vT9s0
736,Cyndi Lauper,spotify:artist:2BTZIqw0ntH9MvilQ3ewNY
737,Juicy J,spotify:artist:5gCRApTajqwbnHHPbr2Fpi
738,Max Richter,spotify:artist:2VZNmg4vCnew4Pavo8zDdW
739,Los Bukis,spotify:artist:16kOCiqZ1auY4sokSeZuKf
740,Otis Redding,spotify:artist:60df5JBRRPcnSpsIMxxwQm
741,Kungs,spotify:artist:7keGfmQR4X5w0two1xKZ7d
742,*NSYNC,spotify:artist:6Ff53KvcvAj5U7Z1vojB5o
743,Jasmine Thompson,spotify:artist:2TL8gYTNgD6nXkyuUdDrMg
744,Willie Nelson,spotify:artist:5W5bDNCqJ1jbCgTxDD0Cb3
745,Tina Turner,spotify:artist:1zuJe6b1roixEKMOtyrEak
746,Yellow Claw,spotify:artist:47z7ZrgFoBvVpCnElCE3Zh
747,Lily Allen,spotify:artist:13saZpZnCDWOI9D4IJhp1f
748,will.i.am,spotify:artist:085pc2PYOi8bGKj0PNjekA
749,NCT 127,spotify:artist:7f4ignuCJhLXfZ9giKT7rH
750,deadmau5,spotify:artist:2CIMQHirSU0MQqyYHq0eOx
751,Beastie Boys,spotify:artist:03r4iKL2g2442PT9n2UKsx
752,Ferrugem,spotify:artist:5ZfBThYiIIhL7jHMG8gDB2
753,Tom Walker,spotify:artist:7z2avKuuiMAT4XZJFv8Rvh
754,Angus & Julia Stone,spotify:artist:4tvKz56Tr39bkhcQUTO0Xr
755,AURORA,spotify:artist:1WgXqy2Dd70QQOU7Ay074N
756,Wallows,spotify:artist:0NIPkIjTV8mB795yEIiPYL
757,Bill Withers,spotify:artist:1ThoqLcyIYvZn7iWbj8fsj
758,Camila,spotify:artist:2gRP1Ezbtj3qrERnd0XasU
759,The National,spotify:artist:2cCUtGK9sDU2EoElnk0GNB
760,ZZ Top,spotify:artist:2AM4ilv6UzW0uMRuqKtDgN
761,Tracy Chapman,spotify:artist:7oPgCQqMMXEXrNau5vxYZP
762,Mary J. Blige,spotify:artist:1XkoF8ryArs86LZvFOkbyr
763,Jowell & Randy,spotify:artist:4IMAo2UQchVFyPH24PAjUs
764,Brad Paisley,spotify:artist:13YmWQJFwgZrd4bf5IjMY4
765,The Score,spotify:artist:2q3GG88dVwuQPF4FmySr9I
766,Los Enanitos Verdes,spotify:artist:4TK1gDgb7QKoPFlzRrBRgR
767,Gavin James,spotify:artist:25tMQOrIU4LlUo6Sv8v5SE
768,Lenny Kravitz,spotify:artist:5gznATMVO85ZcLTkE9ULU7
769,Frédéric Chopin,spotify:artist:7y97mc3bZRFXzT2szRM4L4
770,Ramin Djawadi,spotify:artist:1hCkSJcXREhrodeIHQdav8
771,Tyler Childers,spotify:artist:13ZEDW6vyBF12HYcZRr4EV
772,Brett Young,spotify:artist:0fiWOxhsBsQQvFDtxUQWo0
773,BØRNS,spotify:artist:1KP6TWI40m7p3QBTU6u2xo
774,Audioslave,spotify:artist:2ziB7fzrXBoh1HUPS6sVFn
775,Olivia O'Brien,spotify:artist:1QRj3hoop9Mv5VvHQkwPEp
776,Banda Los Recoditos,spotify:artist:4bPiOPI4V99cepEftvBYak
777,Kiiara,spotify:artist:4u5smJBskI6Adzv08PuiUP
778,Mr. Probz,spotify:artist:33W1pnW9zScZtYTnAoWnOT
779,Sufjan Stevens,spotify:artist:4MXUO7sVCaFgFjoTI5ox5c
780,Alvaro Soler,spotify:artist:2urF8dgLVfDjunO0pcHUEe
781,Diego & Victor Hugo,spotify:artist:3k68C6mNMJL6OaAdWeW2ZF
782,Joaquín Sabina,spotify:artist:4aeIWo5CMF1uRmqgJdwkZW
783,Ella Henderson,spotify:artist:7nDsS0l5ZAzMedVRKPP8F1
784,Blur,spotify:artist:7MhMgCo0Bl0Kukl93PZbYS
785,Ofenbach,spotify:artist:4AKwRarlmsUlLjIwt38NLw
786,Lykke Li,spotify:artist:6oBm8HB0yfrIc9IHbxs6in
787,Cher,spotify:artist:72OaDtakiy6yFqkt4TsiFt
788,Skepta,spotify:artist:2p1fiYHYiXz9qi0JJyxBzN
789,Falling In Reverse,spotify:artist:2CmaKO2zEGJ1NWpS1yfVGz
790,Aleman,spotify:artist:4QFG9KrGWEbr6hNA58CAqE
791,Will Smith,spotify:artist:41qil2VaGbD194gaEcmmyx
792,Kris Kross Amsterdam,spotify:artist:4LcUpNlXFEleaLlelmkv2R
793,Toby Keith,spotify:artist:2bA6fzP0lMAQ4kz6CF61w8
794,Timbaland,spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ
795,Beach House,spotify:artist:56ZTgzPBDge0OvCGgMO3OY
796,Snakehips,spotify:artist:2FwJwEswyIUAljqgjNSHgP
797,Pusha T,spotify:artist:0ONHkAv9pCAFxb0zJwDNTy
798,Spice Girls,spotify:artist:0uq5PttqEjj3IH1bzwcrXF
799,Río Roma,spotify:artist:2O3v9rCTzLhPFaGaAVgZLt
800,Bo Burnham,spotify:artist:2Waw2sSbqvAwK8NwACNjVo
801,Oh Wonder,spotify:artist:5cIc3SBFuBLVxJz58W2tU9
802,UB40,spotify:artist:69MEO1AADKg1IZrq2XLzo5
803,Moby,spotify:artist:3OsRAKCvk37zwYcnzRf5XF
804,Andrea Bocelli,spotify:artist:3EA9hVIzKfFiQI0Kikz2wo
805,Cash Cash,spotify:artist:1LOB7jTeEV14pHai6EXSzF
806,Zendaya,spotify:artist:6sCbFbEjbYepqswM1vWjjs
807,Topic,spotify:artist:0u6GtibW46tFX7koQ6uNJZ
808,John Denver,spotify:artist:7EK1bQADBoqbYXnT4Cqv9w
809,BONES,spotify:artist:5v2WhpA59TJSdPh7LCx1lN
810,Natiruts,spotify:artist:4PhdYoQGH8s1xee81dqQOO
811,TLC,spotify:artist:0TImkz4nPqjegtVSMZnMRq
812,Gustavo Cerati,spotify:artist:1QOmebWGB6FdFtW7Bo3F0W
813,Alina Baraz,spotify:artist:6hfwwpXqZPRC9CsKI7qtv1
814,Lauren Daigle,spotify:artist:40LHVA5BTQp9RxHOQ9JPYj
815,Pixies,spotify:artist:6zvul52xwTWzilBZl6BUbT
816,Dread Mar I,spotify:artist:1aw0Cdl1DIrtUrUA6fGbAR
817,Mc Don Juan,spotify:artist:7Lmrb6KcIzfkmgbtokjsAL
818,Thiaguinho,spotify:artist:1vppDmG3i5sXf3DJzrK4T1
819,Evaluna Montaner,spotify:artist:52qzWdNUp6ebjcNsvgZSiC
820,Capo Plaza,spotify:artist:5SulO4l40qDuV9zUGLZx7n
821,MF DOOM,spotify:artist:2pAWfrd7WFF3XhVt9GooDL
822,Petit Biscuit,spotify:artist:6gK1Uct5FEdaUWRWpU4Cl2
823,Gloria Trevi,spotify:artist:1Db5GsIoVWYktPoD2nnPZZ
824,Gym Class Heroes,spotify:artist:4IJczjB0fJ04gs4uvP0Fli
825,Maggie Lindemann,spotify:artist:0uGk2czvcpWQA383Im6ajf
826,Jeezy,spotify:artist:4yBK75WVCQXej1p04GWqxH
827,Talking Heads,spotify:artist:2x9SpqnPi8rlE9pjHBwmSC
828,Bruno Martini,spotify:artist:5veVxxPm1vzgi6pO2iVA8L
829,Supertramp,spotify:artist:3JsMj0DEzyWc0VDlHuy9Bx
830,Hungria Hip Hop,spotify:artist:0vLuOi2k62sHujIfplInlK
831,Wu-Tang Clan,spotify:artist:34EP7KEpOjXcM2TCat1ISk
832,Vince Staples,spotify:artist:68kEuyFKyqrdQQLLsmiatm
833,Brantley Gilbert,spotify:artist:5q8HGNo0BjLWaTAhRtbwxa
834,Tori Kelly,spotify:artist:1vSN1fsvrzpbttOYGsliDr
835,Counting Crows,spotify:artist:0vEsuISMWAKNctLlUAhSZC
836,Marracash,spotify:artist:5AZuEF0feCXMkUCwQiQlW7
837,Foreigner,spotify:artist:6IRouO5mvvfcyxtPDKMYFN
838,Andrés Calamaro,spotify:artist:3tAICgiSR5PfYY4B8qsoAU
839,Tom Petty and the Heartbreakers,spotify:artist:4tX2TplrkIP4v05BNC903e
840,Hombres G,spotify:artist:60uh2KYYSCqAgJNxcU4DA0
841,Lupe Fiasco,spotify:artist:01QTIT5P1pFP3QnnFSdsJf
842,Upchurch,spotify:artist:2pSObt5Fk8izuX8ZfI3jRn
843,Canserbero,spotify:artist:1wGIhYkKWSq4yACtTkCkSX
844,ZHU,spotify:artist:28j8lBWDdDSHSSt5oPlsX2
845,Cristian Castro,spotify:artist:2AZOALDIBORfbzKTuliwdJ
846,Megadeth,spotify:artist:1Yox196W7bzVNZI7RBaPnf
847,Bryce Vine,spotify:artist:1ShZZUjkbXCjhwrb18BA8I
848,Showtek,spotify:artist:3gk0OYeLFWYupGFRHqLSR7
849,Pabllo Vittar,spotify:artist:6tzRZ39aZlNqlUzQlkuhDV
850,Kelly Rowland,spotify:artist:3AuMNF8rQAKOzjYppFNAoB
851,The All-American Rejects,spotify:artist:3vAaWhdBR38Q02ohXqaNHT
852,Jack & Jack,spotify:artist:1INuLZXjjVbcJRyWvD1iSq
853,ONE OK ROCK,spotify:artist:7k73EtZwoPs516ZxE72KsO
854,Jacquees,spotify:artist:4tMm1dU6Gn04VAZ9ClHcIZ
855,RÜFÜS DU SOL,spotify:artist:6tHs9gFIpD0hCVto83sirH
856,SCH,spotify:artist:2kXKa3aAFngGz2P4GjG5w2
857,Young the Giant,spotify:artist:4j56EQDQu5XnL7R3E9iFJT
858,Gemitaiz,spotify:artist:4upwdFMlZBmQ68jP9jPzjK
859,Empire of the Sun,spotify:artist:67hb7towEyKvt5Z8Bx306c
860,Alanis Morissette,spotify:artist:6ogn9necmbUdCppmNnGOdi
861,Icona Pop,spotify:artist:1VBflYyxBhnDc9uVib98rw
862,Dustin Lynch,spotify:artist:1dID9zgn0OV0Y8ud7Mh2tS
863,The Temptations,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG
864,Simone & Simaria,spotify:artist:0MInKJqZscEeNc5K3K0mkE
865,Gotye,spotify:artist:2AsusXITU8P25dlRNhcAbG
866,NIKI,spotify:artist:2kxP07DLgs4xlWz8YHlvfh
867,Duke Dumont,spotify:artist:61lyPtntblHJvA7FMMhi7E
868,Laura Pausini,spotify:artist:2e4nwiX8ZCU09LGLOpeqTH
869,Beck,spotify:artist:3vbKDsSS70ZX9D2OcvbZmS
