id,name,spotify_uri
128,Anne-Marie,spotify:artist:1zNqDE7qDGCsyzJwohVaoX
129,Lewis Capaldi,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB
130,Clean Bandit,spotify:artist:6MDME20pz9RveH9rEXvrOM
131,Marília Mendonça,spotify:artist:1yR65psqiazQpeM79CcGh8
132,Zara Larsson,spotify:artist:1Xylc3o4UrD53lo9CvFvVg
133,Bebe Rexha,spotify:artist:64M6ah0SkkRsnPGtGiRAbb
134,Anitta,spotify:artist:7FNnA9vBm6EKceENgCGRMb
135,Enrique Iglesias,spotify:artist:7qG3b048QCHVRO5Pv1T5lw
136,Fleetwood Mac,spotify:artist:08GQAI4eElDnROBrJRGE0X
137,The Rolling Stones,spotify:artist:22bE4uQ6baNwSHPVcDxLCe
138,The Neighbourhood,spotify:artist:77SW9BnxLY8rJ0RciFqkHh
139,Pink Floyd,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9
140,Britney Spears,spotify:artist:26dSoYclwsYLMAKD3tpOr4
141,Michael Bublé,spotify:artist:1GxkXlMwML1oSg5eLPiAz3
142,Guns N' Roses,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC
143,Flo Rida,spotify:artist:0jnsk9HBra6NMjO2oANoPY
144,Ty Dolla $ign,spotify:artist:7c0XG5cIJTrrAgEC3ULPiq
145,Kid Cudi,spotify:artist:0fA0VVWsXO9YnASrzqfmYu
146,Becky G,spotify:artist:4obzFoKoKRHIphyHzJ35G3
147,Jonas Blue,spotify:artist:1HBjj22wzbscIZ9sEb5dyf
148,Russ,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS
149,Luis Fonsi,spotify:artist:4V8Sr092TqfHkfAA5fXXqG
150,2Pac,spotify:artist:1ZwdS5xdxEREPySFridCfh
151,Reik,spotify:artist:0vR2qb8m9WHeZ5ByCbimq2
152,50 Cent,spotify:artist:3q7HBObVc0L8jNeTe5Gofh
153,Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL
154,Gorillaz,spotify:artist:3AA28KZvwAUcZuOKwyblJQ
155,Ava Max,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F
156,Bastille,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc
157,Joji,spotify:artist:3MZsBdqDrRTJihTHQrO6Dq
158,Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm
159,Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj
160,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS
161,David Bowie,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy
162,Luke Combs,spotify:artist:718COspgdWOnwOFpJHRZHS
163,Mariah Carey,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ
164,Skrillex,spotify:artist:5he5w2lnU9x7JFhnwcekXX
165,Christian Nodal,spotify:artist:0XwVARXT135rw8lyw1EeWP
166,Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh
167,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu
168,Alessia Cara,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR
169,Foo Fighters,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD
170,Playboi Carti,spotify:artist:699OTQXzgjhIYAHMy9RyPD
171,French Montana,spotify:artist:6vXTefBL93Dj5IqAWq6OTv
172,Tory Lanez,spotify:artist:2jku7tDXc6XoB6MO2hFuqg
173,U2,spotify:artist:51Blml2LZPmy7TTiAg47vQ
174,Manuel Turizo,spotify:artist:0tmwSHipWxN12fsoLcFU3B
175,Meek Mill,spotify:artist:20sxb77xiYeusSH8cVdatc
176,Jack Harlow,spotify:artist:2LIk90788K0zvyj2JJVwkJ
177,blink-182,spotify:artist:6FBDaR13swtiWwGhX1WQsP
178,Led Zeppelin,spotify:artist:36QJpDe2go2KgaRleHCDTp
179,Daft Punk,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
180,Radiohead,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb
181,Jorge & Mateus,spotify:artist:1elUiq4X7pxej6FRlrEzjM
182,Henrique & Juliano,spotify:artist:3p7PcrEHaaKLJnPUGOtRlT
183,Elvis Presley,spotify:artist:43ZHCT0cAZBISjO8DG9PnE
184,Meghan Trainor,spotify:artist:6JL8zeS1NmiOftqZTRgdTz
185,Paulo Londra,spotify:artist:3vQ0GE3mI0dAaxIMYe5g7z
186,Labrinth,spotify:artist:2feDdbD5araYcm6JhFHHw7
187,John Legend,spotify:artist:5y2Xq6xcjJb2jVM54GHK3t
